X,Y,OBJECTID,SPEED_HUMP_TYPE,LOCATION
593293.5208,4788744.957,347,Cushion,12_14 - 9 Cumberland Ave
593495.1388,4790430.5404,348,Cushion,31_33 - 34_36 St Matthews Ave
593567.071,4790400.123,349,Cushion,29_31 - 34 Cheever St
594755.7733,4788489.6051,350,Cushion,173_175 - 186 Balsam Ave S
593083.5538,4790106.7421,351,Cushion,171_173 - 172 East Ave N
595627.628,4789022.2497,352,Cushion,148_150 - 147_149 Kensington Ave N
599739.5161,4786211.2885,353,Cushion,49 Owen Place
600180.1719,4787782.9932,354,Cushion,226 Kenora Ave
596416.0837,4781480.2023,355,Cushion,49_51 - 46_54 Hannon Dr
599129.782,4782787.1561,356,Cushion,239 - 238 First Rd W
589694.5113,4798200.8105,357,Cushion,56 Barton St
588781.5807,4797600.776,358,Cushion,12 Riley St
590791.2562,4800015.9793,359,Cushion,47_51 - 48_52 Forest Ridge Ave
590748.2799,4790546.656,360,Cushion,219 Napier St
590856.0916,4790499.337,361,Cushion,186 - 187 Napier St
590966.7105,4790450.7187,362,Cushion,Napier St Approx. 34 m east of 158 Napier St
590143.9581,4789847.1418,363,Cushion,88 - 89 Melbourne St
590172.3166,4789935.8911,364,Cushion,20 Hill St
588705.1911,4790333.3058,365,Cushion,18_20 - 21 Newton Ave
588207.9442,4789700.7337,366,Cushion,184_188 - 189 Haddon Ave S
588154.7114,4789658.9543,367,Cushion,218 - 223 Haddon Ave S
586491.6923,4789223.5982,368,Cushion,110_114 Lower Horning Rd
586519.3483,4789115.9882,369,Cushion,135 lower Horning Rd
586538.4743,4789040.3162,370,Cushion,155 - 159 Lower Horning Rd
591960.2973,4791303.4598,371,Cushion,374 Bay St N
592291.8514,4791384.8701,372,Cushion,16 Picton St E
596410.0801,4788800.4132,373,Cushion,22 - 25 Frederick Ave
596390.87,4788734.8659,374,Cushion,6 - 7 Frederick Ave
600064.759,4786432.4964,375,Cushion,13 - 14 Meadowvale Ave
599253.1582,4785083.6938,376,Cushion,86 Summercrest Dr
599236.3011,4784951.3647,377,Cushion,19 Summercrest Dr
599614.1736,4787785.8426,378,Cushion,205 - 206_208 Nugent Dr
592675.7941,4783610.2,379,Cushion,78_82 Dulgaren St
595198.7937,4786131.8201,380,Cushion,31_33 - 34 Huntington Ave
590830.332,4786371.2085,381,Cushion,28_32 Hester St
591115.6892,4786282.9453,382,Cushion,Hester St Approx. 15 m west of Manning Ave
591367.0645,4786199.0549,383,Cushion,140 - 143 Hester St
596980.8028,4781237.4155,384,Cushion,80_84 Fletcher Rd
596947.7808,4781121.9123,385,Cushion,110_112 Fletcher Rd
603023.3942,4785656.9684,386,Cushion,25 - 26 Memorial Ave
603071.4941,4785787.5437,387,Cushion,71 - 74 Memorial Ave
603153.9353,4785819.5188,388,Cushion,137 - 142 Memorial Ave
603328.8479,4785785.1398,389,Cushion,206 Memorial Ave
602680.5379,4788689.0522,390,Cushion,608 Grays Rd
602648.1958,4788575.7207,391,Cushion,580 Grays Rd
607788.3136,4786931.1887,392,Cushion,42 Watercrest Dr
607738.4061,4787136.9848,393,Cushion,142 Watercrest Dr
590235.7405,4782527.665,394,Cushion,228 -229 Homebrook Dr
586988.1539,4783944.3905,395,Cushion,8 Grassplain Dr
587153.3009,4783887.6047,396,Cushion,30 - 31 Grassplain Dr
587353.1501,4783834.1557,397,Cushion,62 Grassplain Dr
581475.2229,4784930.6781,398,Cushion,160 - 157 Orchard Dr
581405.872,4785208.6103,399,Cushion,81 - 82 Orchard Dr
584705.6765,4786847.1125,400,Cushion,135_125 - 132_126 Algonquin Ave
584653.8731,4786935.9545,401,Cushion,158 - 155 Algonquin Ave
594433.1976,4785063.8857,402,Cushion,73 Larch Street
594510.668,4785040.2092,403,Cushion,96 Larch Street
594749.1283,4784973.1769,404,Cushion,231 Larch Street
594990.594,4785408.6401,405,Cushion,19 Moxley Drive
594978.4084,4785345.069,406,Cushion,29 Moxley Drive
594940.8128,4785228.5968,407,Cushion,44 Moxley Drive
594930.5746,4785181.5534,408,Cushion,49 Moxley Drive
591363.341,4783830.4397,409,Cushion,Brigade Drive (in front of 189/185/184/190)
593542.3906,4783169.1042,410,Cushion,40 Mount Pleasant Drive
593588.8853,4783116.7484,411,Cushion,76 Mount Pleasant Drive
593557.5099,4783020.7499,412,Cushion,109 Mount Pleasant Drive
593537.3348,4782966.1724,413,Cushion,129 Mount Pleasant Drive
593274.5661,4784522.6795,414,Cushion,99 Robson Crescent
595019.6993,4785514.5683,415,Cushion,7 Moxley Drive
594959.0298,4785583.633,416,Cushion,15 Beacon Avenue
595102.1444,4785540.0392,417,Cushion,49 Beacon Avenue
598466.8582,4781634.1299,418,Cushion,131 Gatestone Drive
598439.4129,4781572.0336,419,Cushion,141 Gatestone Drive
597101.5587,4781244.6616,420,Cushion,25 Bellagio Avenue
597177.7868,4781220.1131,421,Cushion,57 Bellagio Avenue
597293.7994,4781188.5299,422,Cushion,"Bellagio Avenue (between Boulder Cr & Celestial Cres 43.17723815668983, -79.80288217111067)"
597368.1629,4781043.411,423,Cushion,27 Keystone Crescent
597341.626,4780947.4333,424,Cushion,57 Keystone Crescent
597045.9678,4781007.522,425,Cushion,32 Showcase Drive
597216.287,4780959.9813,426,Cushion,85 Showcase Drive
594864.7856,4785246.5281,427,Cushion,9 Rapallo Drive
594848.9127,4785197.2349,428,Cushion,19 Rapallo Drive
594648.343,4786567.8307,429,Cushion,127 East 45th Street
594607.8508,4786440.4861,430,Cushion,160 East 45th Street
594557.8624,4786275.2326,431,Cushion,193 East 45th Street
594542.0503,4786221.6064,432,Cushion,209 East 45th Street
594504.5372,4786099.074,433,Cushion,232 East 45th Street
595503.1369,4786313.1962,434,Cushion,22 Organ Crescent
595467.317,4786195.4593,435,Cushion,50 Organ Crescent
595525.9485,4786116.3899,436,Cushion,73 Organ Crescent
595672.5108,4786075.0314,437,Cushion,107 Organ Crescent
592801.1725,4783073.724,438,Cushion,591 Eaglewood Drive
592940.8907,4783026.1111,439,Cushion,545 Eaglewood Drive
593030.2759,4783056.8722,440,Cushion,500 Eaglewood Drive
589729.8396,4789473.7465,441,Cushion,262 Homewood Avenue
589779.428,4789544.2724,442,Cushion,273 Stanley Avenue
590076.5069,4789638.909,443,Cushion,398 Charlton Avenue West
590242.2265,4789589.4682,444,Cushion,Charlton Avenue West (btwn 350 and 352)
588970.0931,4789212.8009,445,Cushion,Beddoe Drive (btwn 41 and 42 Beddoe Dr)
588718.9104,4790823.1992,446,Cushion,206 Dromore Crescent
588773.6944,4790796.1469,447,Cushion,79 Marion Avenue North
589069.8284,4790926.29,448,Cushion,38 Parkside Drive
589036.7275,4790827.3631,449,Cushion,2 Glen Road
590200.0514,4789709.1296,450,Cushion,55 Chatham Street
590309.6938,4789676.3045,451,Cushion,25 Chatham Street
591492.7965,4790909.0277,452,Cushion,213 Caroline Street North
591469.1411,4790830.7162,453,Cushion,191 Caroline Street North
591780.8954,4789293.7241,454,Cushion,45 Young Street
591882.9424,4789260.0597,455,Cushion,78 Young Street
591991.3328,4789224.421,456,Cushion,108 Young Street
590900.5098,4789605.3253,457,Cushion,197 Duke Street
592317.8218,4789226.5291,458,Cushion,45 Liberty Street
593461.3193,4783287.2766,459,Cushion,865 Templemead Drive
601470.8154,4785908.85,460,Cushion,15 Passmore Street
601713.5468,4785836.3788,461,Cushion,"Passmore Street (beside #31 Cartwright, on Passmore)"
596825.59,4781209.9565,462,Cushion,Pinehill Drive (btwn Silver Spring Cres & Silver Spring Cres)
596614.4006,4781300.2431,463,Cushion,Pinehill Drive (btwn #113 & #117 Pinehill Drive)
596295.4186,4781430.7099,464,Cushion,Pinehill Drive (btwn #212 & #216 Pinehill Dr)
596183.3924,4781464.3129,465,Cushion,Pinehill Drive  (btwn #242 & 244 Pinehill Dr)
596114.3809,4781484.0823,466,Cushion,Pinehill Drive (btwn #268 & #274 Pinehill Dr)
595955.2485,4781532.2654,467,Cushion,Pinehill Drive (btwn #332 & #334 Pinehill Dr)
593614.2815,4785739.4117,468,Cushion,31 Lawfield Drive
593544.079,4785592.1094,469,Cushion,65 Lawfield Drive
592887.925,4783532.2817,470,Cushion,41 Presidio Drive
593041.3873,4783483.1249,471,Cushion,93 Presidio Drive
592171.6864,4787582.2892,472,Cushion,270 East 13th Street
591116.5863,4788152.1528,473,Cushion,25 Brantdale Avenue
590918.4616,4788211.1338,474,Cushion,145 Brantdale Avenue
590942.6146,4783703.8741,475,Cushion,39 Massena Dr
590921.9473,4783643.9832,476,Cushion,59 Massena Dr
590865.3564,4783844.1962,477,Cushion,19 Byng Street
591738.9994,4783554.1127,478,Cushion,733 Acadia Drive
592029.4572,4784176.8647,479,Cushion,432 Acadia Drive
595653.4679,4786605.7132,480,Cushion,99 Princeton Drive (btwn Sherwood Rise & Margate Ave)
595670.9679,4786678.0326,481,Cushion,"Princeton Drive (46m N of Margate, btwn 3 Margate Ave & 2 Valecrest Ave)"
595700.7981,4786772.0161,482,Cushion,61 Princeton Drive
595337.3295,4784167.108,483,Cushion,Upper Kenilworth Avenue (38m N of 966 Upper Kenilworth)
595300.7141,4784042.8095,484,Cushion,990 Upper Kenilworth Avenue
593419.4415,4785491.4432,485,Cushion,50 Berko Avenue
593572.4843,4785485.7326,486,Cushion,182 Berko Avenue
594331.9376,4785809.7491,487,Cushion,270 East 44th Street
594368.3393,4785934.2241,488,Cushion,244 East 44th Street
594473.2591,4786270.5916,489,Cushion,174 East 44th Street
594526.5554,4786451.2759,490,Cushion,135 East 44th Street
592007.4566,4788535.5827,491,Cushion,20 Highcliffe Avenue
590115.848,4787633.4404,492,Cushion,"Columbia Drive (Beside 17 Tyne Place, btwn Laurier Ave & Tyne Pl)"
590004.2183,4787283.4319,493,Cushion,148 Columbia Drive
589851.7678,4787233.7189,494,Cushion,180 Columbia Drive
589766.2602,4787357.8307,495,Cushion,214 Columbia Drive
589859.3884,4787431.5587,496,Cushion,236 Columbia Drive
590401.9224,4786372.6813,497,Cushion,305 Hawkridge Avenue
590384.5965,4786315.7905,498,Cushion,320 Hawkridge Avenue
590337.8515,4786152.892,499,Cushion,353 Hawkridge Avenue
590296.1488,4786011.2573,500,Cushion,399 Hawkridge Avenue
588953.2477,4785849.458,501,Cushion,485 Bridgadoon Dr
588919.4912,4785731.7796,502,Cushion,519 Bridgadoon Dr (btwn Garrow Dr & Duncairn Court)
588892.3014,4785645.0149,503,Cushion,541 Bridgadoon Dr (btwn Duncairn Court & Glenview Court)
589164.1554,4785318.128,504,Cushion,722 Bridgadoon Dr
589546.0739,4783716.2629,505,Cushion,58 Malton Dr
589614.3427,4783695.8795,506,Cushion,44 Malton Dr
589677.3877,4783674.9936,507,Cushion,28 Malton Dr
